iter	RMSE
0	1067780.934
1	1030391.171
2	999904.9701
3	967284.9178
4	939063.0514
5	912498.9065
6	886895.6149
7	861257.783
8	835611.4132
9	814475.8476
10	793632.7902
11	774962.2028
12	757204.6119
13	739742.0017
14	721975.2979
15	706411.1701
16	692332.8864
17	678774.1725
18	664350.6862
19	650328.9912
20	639148.6142
21	628631.9243
22	617965.5891
23	607895.4618
24	598318.9355
25	589906.2957
26	582620.1229
27	574928.7543
28	567379.1649
29	559704.6712
30	553568.4295
31	547425.1275
32	541961.862
33	536859.1711
34	531157.2033
35	526764.8263
36	522259.7161
37	517943.734
38	513729.6223
39	510505.8326
40	506999.787
41	503619.721
42	500526.4976
43	497838.7178
44	494861.1753
45	492929.8046
46	490198.5958
47	487911.7873
48	485795.9743
49	483749.5798
50	481689.7084
51	479526.6481
52	477697.0915
53	476063.8294
54	474316.7231
55	472681.2481
56	470649.251
57	469075.7169
58	468439.348
59	466919.717
60	465300.2119
61	463760.9047
62	462788.8501
63	461662.1749
64	460605.1225
65	459985.1017
66	459269.3957
67	458559.262
68	457088.9132
69	456227.8141
70	455189.7281
71	454264.9993
72	453615.8311
73	453208.8208
74	452823.5763
75	452192.8006
76	451573.0498
77	451147.3508
78	450357.7466
79	449996.7983
80	449242.7494
81	448701.6987
82	448005.5323
83	447568.0969
84	447274.7512
85	447008.4422
86	446141.8243
87	445374.1967
88	444123.792
89	443704.5089
90	443448.4534
91	442733.3483
92	441642.4418
93	441372.6994
94	440934.9845
95	440347.3005
96	440177.589
97	440090.7975
98	439992.661
99	439543.3664
100	439228.1953
101	438765.7863
102	438302.3229
103	438156.0914
104	437946.1726
105	437661.9768
106	437409.2352
107	437080.3911
108	436691.8093
109	436570.1846
110	436175.5057
111	436033.4421
112	435892.0312
113	434794.1556
114	434446.2421
115	434109.5745
116	434026.2654
117	433531.305
118	432884.5786
119	432428.2192
120	432049.0873
121	431934.6697
122	431553.8991
123	431253.7115
124	431055.8927
125	430969.24
126	430747.9486
127	430655.7599
128	430357.7485
129	430050.6114
130	429862.9528
131	429766.2765
132	429572.3624
133	429436.9659
134	429348.4329
135	429205.8449
136	428662.0507
137	428415.5626
138	428219.7079
139	428048.6273
140	427803.031
141	427594.4801
142	426876.8619
143	426769.566
144	425546.9086
145	425433.9117
146	425324.0561
147	424061.7538
148	423936.4438
149	423786.6119
150	423692.1386
151	423592.7304
152	423507.3544
153	423398.0723
154	423076.1427
155	422907.3918
156	422767.6231
157	422660.8804
158	422400.2081
159	422315.9599
160	422209.7364
161	422085.233
162	421848.6881
163	421502.6583
164	421421.2864
165	421249.8884
166	420191.639
