iter	Passed	Remaining
0	144	144711
1	148	74008
2	151	50245
3	154	38496
4	157	31391
5	160	26620
6	163	23200
7	166	20636
8	169	18653
9	172	17066
10	175	15761
11	178	14688
12	181	13778
13	184	12993
14	187	12310
15	190	11711
16	193	11181
17	196	10705
18	199	10320
19	202	9943
20	205	9599
21	208	9286
22	211	8997
23	214	8738
24	217	8495
25	220	8262
26	223	8050
27	226	7852
28	229	7674
29	232	7511
30	235	7355
31	238	7206
32	241	7065
33	244	6933
34	247	6811
35	250	6697
36	253	6585
37	255	6479
38	259	6390
39	261	6286
40	264	6192
41	268	6114
42	270	6030
43	273	5946
44	276	5870
45	279	5795
46	282	5721
47	284	5652
48	287	5587
49	291	5530
50	294	5473
51	296	5414
52	300	5364
53	303	5309
54	306	5260
55	309	5210
56	312	5161
57	314	5115
58	317	5065
59	320	5024
60	323	4978
61	326	4933
62	329	4894
63	332	4863
64	335	4824
65	338	4785
66	341	4749
67	344	4715
68	347	4683
69	350	4650
70	352	4616
71	355	4585
72	358	4551
73	361	4517
74	363	4486
75	366	4455
76	369	4426
77	372	4397
78	374	4370
79	377	4339
80	380	4312
81	382	4284
82	385	4257
83	387	4230
84	390	4205
85	393	4180
86	396	4156
87	398	4131
88	401	4107
89	403	4083
90	406	4059
91	409	4038
92	412	4019
93	414	3997
94	417	3974
95	419	3951
96	422	3929
97	424	3902
98	426	3881
99	429	3862
100	431	3842
101	434	3823
102	436	3804
103	439	3787
104	442	3770
105	445	3755
106	447	3736
107	450	3720
108	453	3703
109	455	3683
110	457	3665
111	460	3648
112	462	3631
113	465	3616
114	467	3600
115	470	3588
116	473	3574
117	476	3559
118	478	3544
119	481	3529
120	484	3516
121	486	3503
122	489	3489
123	491	3475
124	494	3461
125	497	3449
126	500	3437
127	502	3426
128	505	3413
129	508	3400
130	510	3385
131	512	3371
132	515	3360
133	518	3349
134	521	3338
135	523	3328
136	526	3317
137	529	3308
138	532	3297
139	535	3288
140	538	3277
141	540	3266
142	543	3258
143	546	3248
144	549	3238
145	552	3229
146	554	3220
147	557	3211
148	560	3202
149	563	3193
150	566	3184
151	568	3173
152	571	3163
153	574	3154
154	576	3144
155	579	3134
156	581	3124
157	584	3114
158	587	3105
159	589	3096
160	592	3088
161	595	3080
162	598	3070
163	600	3062
164	603	3053
165	605	3044
166	608	3035
167	611	3026
168	613	3018
169	616	3009
170	618	3000
171	621	2991
172	624	2983
173	626	2974
174	629	2966
175	631	2958
176	634	2951
177	637	2944
178	640	2935
179	642	2927
180	645	2918
181	647	2911
182	650	2903
183	653	2896
184	655	2888
185	658	2882
186	661	2874
187	663	2866
188	666	2858
189	669	2852
190	671	2844
191	674	2836
192	676	2828
193	679	2821
194	681	2813
195	683	2805
196	686	2797
197	688	2789
198	691	2783
199	694	2777
200	697	2771
201	699	2765
202	703	2760
203	705	2753
204	708	2747
205	711	2742
206	714	2737
207	717	2730
208	719	2724
209	722	2719
210	725	2713
211	728	2708
212	731	2701
213	733	2694
214	736	2689
215	739	2683
216	741	2676
217	744	2669
218	746	2663
219	749	2656
220	752	2650
221	754	2644
222	757	2638
223	759	2632
224	762	2626
225	765	2621
226	768	2616
227	770	2609
228	773	2603
229	775	2597
230	778	2591
231	781	2586
232	783	2580
233	787	2576
234	789	2570
235	792	2564
236	795	2559
237	797	2554
238	800	2548
239	803	2543
240	805	2537
241	808	2532
242	811	2526
243	813	2521
244	816	2515
245	818	2509
246	821	2504
247	824	2498
248	826	2493
249	829	2488
250	832	2482
251	834	2477
252	837	2472
253	839	2466
254	842	2462
255	845	2457
256	848	2452
257	851	2449
258	854	2444
259	857	2440
260	860	2436
261	862	2430
262	865	2425
263	868	2420
264	871	2416
265	873	2410
266	876	2405
267	878	2400
268	881	2395
269	884	2390
270	886	2385
271	889	2380
272	891	2375
273	894	2370
274	897	2366
275	900	2362
276	903	2357
277	906	2354
278	909	2349
279	911	2344
280	914	2339
281	917	2335
282	920	2331
283	922	2326
284	925	2322
285	928	2318
286	931	2314
287	934	2310
288	937	2306
289	939	2301
290	942	2296
291	945	2292
292	948	2287
293	950	2282
294	953	2278
295	955	2273
296	958	2269
297	961	2265
298	964	2261
299	967	2257
300	969	2252
301	972	2247
302	975	2243
303	978	2239
304	981	2236
305	984	2231
306	986	2227
307	989	2222
308	992	2218
309	994	2214
310	998	2211
311	1001	2208
312	1005	2206
313	1008	2202
314	1010	2198
315	1013	2193
316	1016	2189
317	1019	2185
318	1021	2181
319	1024	2177
320	1027	2172
321	1030	2168
322	1032	2165
323	1035	2160
324	1038	2156
325	1041	2153
326	1044	2149
327	1047	2145
328	1049	2141
329	1052	2137
330	1055	2132
331	1057	2128
332	1060	2123
333	1062	2119
334	1065	2115
335	1068	2111
336	1070	2106
337	1073	2102
338	1076	2098
339	1079	2094
340	1081	2090
341	1084	2085
342	1086	2081
343	1089	2077
344	1092	2073
345	1094	2069
346	1097	2065
347	1100	2061
348	1103	2057
349	1105	2053
350	1108	2049
351	1111	2046
352	1114	2042
353	1117	2038
354	1119	2034
355	1122	2030
356	1125	2027
357	1128	2023
358	1130	2019
359	1133	2015
360	1136	2011
361	1139	2007
362	1141	2003
363	1144	1999
364	1147	1995
365	1149	1991
366	1152	1988
367	1155	1984
368	1158	1980
369	1160	1976
370	1163	1972
371	1165	1968
372	1168	1964
373	1171	1960
374	1174	1956
375	1176	1952
376	1179	1948
377	1182	1945
378	1184	1941
379	1187	1937
380	1189	1933
381	1192	1929
382	1195	1925
383	1198	1921
384	1201	1918
385	1203	1914
386	1206	1911
387	1209	1907
388	1211	1903
389	1214	1899
390	1217	1895
391	1219	1891
392	1222	1887
393	1225	1884
394	1227	1880
395	1230	1877
396	1233	1873
397	1236	1869
398	1238	1865
399	1241	1862
400	1244	1859
401	1247	1855
402	1250	1851
403	1252	1848
404	1255	1844
405	1258	1841
406	1260	1837
407	1263	1833
408	1266	1829
409	1268	1825
410	1271	1822
411	1274	1818
412	1276	1814
413	1279	1810
414	1281	1806
415	1284	1803
416	1288	1800
417	1290	1797
418	1293	1793
419	1295	1789
420	1298	1785
421	1301	1782
422	1303	1778
423	1306	1774
424	1308	1770
425	1311	1767
426	1314	1763
427	1316	1759
428	1319	1756
429	1322	1752
430	1325	1749
431	1327	1745
432	1330	1742
433	1333	1739
434	1336	1735
435	1339	1732
436	1341	1728
437	1344	1725
438	1347	1721
439	1350	1718
440	1352	1714
441	1355	1711
442	1358	1708
443	1361	1704
444	1363	1700
445	1366	1697
446	1368	1693
447	1371	1689
448	1374	1686
449	1376	1682
450	1379	1678
451	1381	1675
452	1384	1671
453	1386	1667
454	1389	1664
455	1391	1660
456	1394	1656
457	1397	1653
458	1399	1649
459	1402	1646
460	1405	1643
461	1407	1639
462	1410	1635
463	1412	1631
464	1415	1628
465	1417	1624
466	1420	1621
467	1423	1617
468	1425	1614
469	1428	1610
470	1430	1607
471	1433	1603
472	1436	1600
473	1438	1596
474	1441	1592
475	1443	1589
476	1446	1585
477	1448	1582
478	1451	1578
479	1454	1575
480	1456	1571
481	1459	1568
482	1461	1564
483	1464	1561
484	1467	1557
485	1469	1554
486	1472	1550
487	1474	1547
488	1477	1543
489	1480	1540
490	1482	1536
491	1485	1533
492	1487	1529
493	1490	1526
494	1492	1522
495	1495	1519
496	1498	1516
497	1501	1513
498	1504	1510
499	1506	1506
500	1509	1502
501	1513	1500
502	1516	1498
503	1518	1494
504	1521	1491
505	1524	1488
506	1527	1485
507	1530	1482
508	1532	1478
509	1535	1475
510	1538	1472
511	1541	1468
512	1543	1465
513	1546	1462
514	1549	1458
515	1551	1455
516	1554	1452
517	1557	1449
518	1560	1445
519	1562	1442
520	1565	1439
521	1567	1435
522	1570	1432
523	1573	1429
524	1576	1426
525	1580	1424
526	1583	1420
527	1585	1417
528	1588	1414
529	1591	1411
530	1593	1407
531	1596	1404
532	1599	1401
533	1601	1397
534	1604	1394
535	1606	1390
536	1608	1387
537	1611	1383
538	1614	1380
539	1617	1377
540	1619	1374
541	1622	1371
542	1625	1367
543	1627	1364
544	1630	1361
545	1633	1358
546	1636	1355
547	1639	1352
548	1641	1348
549	1644	1345
550	1647	1342
551	1649	1339
552	1652	1335
553	1654	1332
554	1657	1328
555	1659	1325
556	1662	1322
557	1665	1319
558	1667	1315
559	1670	1312
560	1673	1309
561	1675	1306
562	1678	1302
563	1681	1299
564	1683	1296
565	1686	1292
566	1689	1289
567	1691	1286
568	1695	1283
569	1698	1281
570	1701	1278
571	1704	1275
572	1706	1271
573	1709	1268
574	1711	1265
575	1714	1261
576	1716	1258
577	1719	1255
578	1722	1252
579	1725	1249
580	1728	1246
581	1731	1243
582	1733	1240
583	1736	1236
584	1738	1233
585	1741	1230
586	1743	1226
587	1746	1223
588	1748	1220
589	1751	1217
590	1753	1213
591	1756	1210
592	1758	1207
593	1761	1204
594	1764	1200
595	1766	1197
596	1769	1194
597	1771	1191
598	1774	1187
599	1776	1184
600	1779	1181
601	1782	1178
602	1784	1174
603	1787	1171
604	1790	1168
605	1793	1165
606	1796	1162
607	1798	1159
608	1801	1156
609	1804	1153
610	1806	1150
611	1809	1147
612	1812	1144
613	1815	1141
614	1817	1137
615	1820	1135
616	1823	1131
617	1826	1128
618	1828	1125
619	1831	1122
620	1834	1119
621	1837	1116
622	1840	1113
623	1843	1110
624	1846	1108
625	1849	1105
626	1852	1102
627	1855	1099
628	1858	1096
629	1861	1093
630	1864	1090
631	1868	1087
632	1872	1085
633	1875	1082
634	1878	1079
635	1882	1077
636	1885	1074
637	1888	1071
638	1892	1068
639	1895	1066
640	1898	1063
641	1901	1060
642	1904	1057
643	1907	1054
644	1910	1051
645	1913	1048
646	1916	1045
647	1919	1042
648	1923	1040
649	1926	1037
650	1929	1034
651	1932	1031
652	1935	1028
653	1938	1025
654	1941	1022
655	1944	1019
656	1947	1016
657	1950	1013
658	1953	1010
659	1957	1008
660	1960	1005
661	1963	1002
662	1965	999
663	1968	996
