iter	RMSE
0	381277.2924
1	366407.3484
2	352512.3507
3	339494.6036
4	326887.1677
5	314801.7232
6	302963.32
7	291865.5649
8	281917.3319
9	272694.0353
10	263929.7535
11	255611.3434
12	248236.8257
13	240761.5507
14	233972.8861
15	227259.5497
16	221234.8125
17	214623.0473
18	209349.8474
19	204460.5818
20	199383.5024
21	194408.5521
22	190028.9769
23	185499.9239
24	181327.8836
25	177456.0038
26	174039.2777
27	170327.9427
28	167659.9903
29	164493.1406
30	161861.1482
31	159440.1209
32	156960.4778
33	154508.1612
34	151995.0374
35	149582.4863
36	147272.1657
37	145245.3441
38	143430.6334
39	141689.4034
40	140096.0907
41	138721.3734
42	137419.6988
43	136032.9278
44	134683.6396
45	133543.1402
46	132419.09
47	131175.0382
48	130135.4555
49	129271.1576
50	128317.2156
51	127423.815
52	126371.4938
53	125537.8357
54	124839.3659
55	123880.0339
56	123092.2981
57	122488.2398
58	121669.966
59	120972.4834
60	120341.7189
61	119805.3015
62	119112.1385
63	118586.5351
64	118005.8854
65	117478.3275
66	116961.4865
67	116484.5407
68	115938.2696
69	115494.0975
70	115066.1553
71	114628.8548
72	114172.9889
73	113824.2872
74	113259.784
75	112893.6973
76	112366.4912
77	112080.065
78	111614.6648
79	111330.3082
80	111036.0771
81	110750.4111
82	110450.9017
83	110032.0636
84	109767.2424
85	109487.5697
86	109246.0928
87	108917.6622
88	108576.1818
89	108394.7625
90	108113.7342
91	107809.0032
92	107525.9033
93	107254.0762
94	106894.4181
95	106566.7441
96	106380.9099
97	106121.0322
98	105937.4255
99	105691.1303
100	105293.9569
101	105116.5638
102	104870.288
103	104676.0204
104	104468.4789
105	104201.443
106	103915.6476
107	103615.6258
108	103365.1383
109	103226.5394
110	103080.6139
111	102912.6904
112	102720.3193
113	102549.9536
114	102404.1888
115	102241.6442
116	102037.1626
117	101813.1346
118	101679.2416
119	101434.7002
120	101220.6749
121	101060.0675
122	100886.4181
123	100708.776
124	100525.6264
125	100431.9568
126	100326.5041
127	100139.1693
128	99946.18709
129	99732.60121
130	99618.16389
131	99532.82754
132	99360.81297
133	99264.85351
134	99128.5033
135	98991.62225
136	98694.45716
137	98526.83201
138	98346.70398
139	98295.05071
140	98170.63644
141	98001.80457
142	97735.87468
143	97597.2493
144	97432.69355
145	97118.50282
146	96992.35815
147	96811.44913
148	96638.19548
149	96487.9756
150	96417.25395
151	96231.03915
152	96113.72361
153	96020.31155
154	95947.79904
155	95782.62509
156	95655.02121
157	95533.37305
158	95332.24022
159	95184.67459
160	94999.23484
161	94826.05821
162	94715.38208
163	94619.22991
164	94497.86952
165	94255.85622
166	94118.93742
167	94019.76988
168	93892.03549
169	93774.69212
170	93583.98513
171	93398.07268
172	93319.68532
173	93102.68859
174	92951.34044
175	92820.21233
176	92653.59824
177	92569.54013
178	92424.35735
179	92312.59623
180	92106.13008
181	91980.16013
182	91835.20056
183	91701.17741
184	91606.46737
185	91520.0944
186	91354.64048
187	91174.92734
188	91093.92166
189	90988.42806
190	90834.93706
191	90768.69707
192	90582.60788
193	90492.66117
194	90366.02306
195	90214.20918
196	90112.74115
197	90009.05714
198	89879.34815
199	89767.34028
200	89615.0749
201	89538.77152
202	89430.07568
203	89340.85287
204	89230.48778
205	89104.66094
206	88983.72066
207	88866.75859
208	88737.43693
209	88607.58064
210	88461.73939
211	88299.17378
212	88152.06568
213	88044.13588
214	87926.98322
215	87818.40402
216	87695.04463
217	87593.10717
218	87500.0164
219	87399.26088
220	87269.16021
221	87170.60673
222	87065.6558
223	86972.82621
224	86881.10084
225	86760.24979
226	86687.17825
227	86566.09534
228	86473.72674
229	86331.41498
230	86210.94262
231	86107.33355
232	85975.17135
233	85853.08376
234	85805.82229
235	85678.61354
236	85549.80616
237	85420.18138
238	85302.28825
239	85215.84179
240	85122.02388
241	85012.61469
242	84929.22029
243	84848.27658
244	84746.27575
245	84670.7845
246	84612.67812
247	84500.52487
248	84422.27514
249	84358.73575
250	84257.24711
251	84161.80846
252	84022.00991
253	83940.0062
254	83867.44557
255	83757.8829
256	83665.07567
257	83578.95277
258	83498.23931
259	83406.50836
260	83330.73718
261	83258.99601
262	83165.79082
263	83096.35124
264	83012.77315
265	82942.30199
266	82877.66139
267	82790.56467
268	82648.16371
269	82604.04256
270	82540.90848
271	82401.17841
272	82289.39624
273	82207.32046
274	82056.86905
275	81978.35528
276	81883.46441
277	81831.05019
278	81767.15862
279	81682.81449
280	81621.45441
281	81570.29545
282	81517.93595
283	81446.17821
284	81368.63694
285	81295.36776
286	81227.00007
287	81170.98175
288	81067.6763
289	80999.62933
290	80909.43753
291	80829.85662
292	80773.6534
293	80697.21611
294	80636.38959
295	80526.54395
296	80452.37917
297	80350.74014
298	80260.19187
299	80192.40146
300	80081.21376
301	79996.67917
302	79893.54896
303	79789.8849
304	79690.51714
305	79587.09928
306	79537.03041
307	79502.01579
308	79441.57974
309	79327.70453
310	79289.38808
311	79173.01363
312	79087.79717
313	79009.26136
314	78947.19739
315	78887.61406
316	78812.32345
317	78738.81366
318	78664.50688
319	78618.83671
320	78513.00601
321	78411.13975
322	78361.55275
323	78303.43745
324	78208.44216
325	78040.65812
326	77970.86538
327	77886.8744
328	77853.15327
329	77808.51241
330	77748.76172
331	77655.73377
332	77588.44243
333	77450.18379
334	77404.7602
335	77358.84363
336	77284.87272
337	77183.15926
338	77148.27553
339	77088.74126
340	77010.15278
341	76962.94812
342	76894.10667
343	76845.00846
344	76777.2213
345	76722.33954
346	76679.72785
347	76619.57226
348	76563.14374
349	76515.30448
350	76462.02178
351	76357.90059
352	76275.27929
353	76217.08646
354	76117.20477
355	76029.24593
356	75989.02101
357	75941.21853
358	75874.81273
359	75824.95508
360	75752.94666
361	75722.39898
362	75668.35315
363	75636.43866
364	75578.88004
365	75558.16219
366	75472.64133
367	75437.37186
368	75374.26661
369	75315.45165
370	75216.39653
371	75127.01568
372	75024.26644
373	74939.30837
374	74873.8994
375	74800.54426
376	74733.87684
377	74673.06246
378	74613.5312
379	74548.01573
380	74485.23054
381	74432.71763
382	74388.84176
383	74342.48707
384	74249.56137
385	74243.34717
386	74170.94821
387	74124.00395
388	74117.82487
389	74088.24893
390	73978.98913
391	73942.63037
392	73895.50681
393	73840.9017
394	73811.43448
395	73767.90762
396	73692.61126
397	73687.42357
398	73634.6273
399	73524.71224
400	73497.41622
401	73394.04482
402	73338.51598
403	73271.35202
404	73219.90091
405	73177.25048
406	73088.82506
407	72993.28607
408	72886.2901
409	72817.86432
410	72727.07339
411	72680.35146
412	72674.71515
413	72572.28128
414	72536.55241
415	72437.84884
416	72373.60817
417	72293.84499
418	72267.84323
419	72219.26792
420	72139.66538
421	72075.36903
422	72037.96084
423	71976.08455
424	71932.382
425	71861.18553
426	71795.22978
427	71789.89062
428	71740.58031
429	71700.70616
430	71632.17201
431	71536.60397
432	71513.78347
433	71417.55773
434	71382.033
435	71333.35598
436	71271.29662
437	71219.36398
438	71137.82414
439	71104.03047
440	71019.48673
441	70981.2942
442	70902.18007
443	70825.77181
444	70764.93405
445	70704.14158
446	70648.16237
447	70576.75217
448	70506.75527
449	70434.38564
450	70413.15954
451	70374.75526
452	70305.47756
453	70220.90851
454	70146.16426
455	70065.74707
456	70058.9029
457	69998.1502
458	69949.29766
459	69888.33535
460	69813.75367
461	69769.83392
462	69717.64629
463	69683.21672
464	69649.634
465	69588.00662
466	69566.32501
467	69504.59158
468	69433.55876
469	69367.64035
470	69349.05254
471	69288.42168
472	69234.45977
473	69201.92172
474	69138.75641
475	69093.3853
476	69073.95317
477	68998.56355
478	68969.29127
479	68899.06342
480	68882.84126
481	68828.54403
482	68783.80747
483	68714.11537
484	68669.60729
485	68623.70128
486	68579.58889
487	68554.14982
488	68505.24793
489	68400.63648
490	68373.60266
491	68349.62862
492	68342.29341
493	68304.43814
494	68245.52111
495	68187.80744
496	68155.93352
497	68117.84841
498	68079.97128
499	68028.35212
500	68000.79122
501	67961.4457
502	67888.78901
503	67876.49418
504	67858.22406
505	67811.63896
506	67788.76925
507	67712.55915
508	67658.46748
509	67613.41099
510	67568.41817
511	67535.11691
512	67465.76641
513	67410.7931
514	67336.41559
515	67314.27139
516	67253.09472
517	67157.13119
518	67106.67779
519	67055.29914
520	66981.91607
521	66944.32711
522	66907.79097
523	66898.04501
524	66866.7816
525	66805.86625
526	66790.41765
527	66758.44328
528	66731.87877
529	66673.73121
530	66644.63132
531	66630.00314
532	66578.80549
533	66545.56595
534	66525.59573
535	66476.10275
536	66448.94053
537	66414.26329
538	66367.86897
539	66295.54244
540	66255.20289
541	66196.48487
542	66134.71183
543	66121.2576
544	66079.73493
545	66053.09912
546	66044.06334
547	66011.44639
548	65964.19849
549	65921.27517
550	65887.50587
551	65873.11455
552	65857.51721
553	65815.74656
554	65787.95177
555	65732.59083
556	65722.27815
557	65716.20033
558	65671.51582
559	65622.30995
560	65578.0522
561	65551.45562
562	65496.50907
563	65437.84095
564	65413.65558
565	65362.6027
566	65325.05083
567	65268.60207
568	65225.87253
569	65180.30184
570	65115.17101
571	65108.13597
572	65051.09463
573	65032.40918
574	64995.31762
575	64954.93264
576	64906.48754
577	64864.68405
578	64840.60771
579	64795.92696
580	64739.20744
581	64691.69683
582	64642.73069
583	64577.69877
584	64509.33312
585	64464.35441
586	64438.98817
587	64387.98834
588	64332.37798
589	64303.96144
590	64228.68605
591	64179.88891
592	64140.64031
593	64111.77166
594	64079.18111
595	64027.82853
596	64001.85143
597	63944.50224
598	63929.23997
599	63891.90104
600	63851.92808
601	63831.99948
602	63799.61964
603	63772.9688
604	63723.27812
605	63688.47274
606	63671.75278
607	63624.51914
608	63587.96131
609	63553.6547
610	63511.62961
611	63464.38022
612	63434.96563
613	63397.03956
614	63382.76281
615	63346.2285
616	63309.17257
617	63268.00648
618	63230.48238
619	63201.18903
620	63175.81816
621	63154.69778
622	63122.62211
623	63077.49689
624	63073.04046
625	63028.16477
626	62992.31077
627	62967.82474
628	62930.9539
629	62884.63451
630	62830.74206
631	62787.56868
632	62752.32711
633	62730.26903
634	62668.11472
635	62628.67196
636	62583.57899
637	62549.31431
638	62531.61812
639	62514.57475
640	62510.37258
641	62461.64345
642	62449.52885
643	62423.40703
644	62400.52718
645	62364.15735
646	62291.20735
647	62255.47057
648	62244.53635
649	62214.17437
650	62183.64858
651	62145.15338
652	62091.94426
653	62054.74484
654	62042.83201
655	61997.86438
656	61966.5264
657	61905.09104
658	61881.36164
659	61846.57191
660	61797.75289
661	61760.08964
662	61753.76245
663	61739.05173
664	61710.23769
665	61669.18369
666	61614.30189
667	61553.9874
668	61517.91711
669	61455.11809
670	61414.0701
671	61377.63296
672	61358.56268
673	61327.58502
674	61301.0703
675	61291.97885
676	61276.27382
677	61257.7793
678	61230.85705
679	61198.51638
680	61167.38402
681	61125.94991
682	61098.10335
683	61076.81689
684	61045.11412
685	61034.02619
686	61029.16869
687	60996.08134
688	60955.76693
689	60931.1432
690	60915.86379
691	60896.9842
692	60864.15424
693	60826.41564
694	60797.90296
695	60769.24799
696	60728.05107
697	60702.76948
698	60656.92103
699	60650.81288
700	60607.75608
701	60584.78077
702	60571.04277
703	60549.88285
704	60514.96953
705	60466.81576
706	60431.38324
707	60412.86666
708	60384.45913
709	60366.40666
710	60332.67759
711	60300.51061
712	60279.50044
713	60259.87612
714	60208.52273
715	60180.2064
716	60146.90717
717	60113.73876
718	60073.07344
719	60040.02196
720	60016.66848
721	59979.06898
722	59936.61862
723	59902.01616
724	59877.29745
725	59834.52231
726	59809.49391
727	59771.191
728	59736.91552
729	59700.94997
730	59696.80487
731	59648.64301
732	59611.74036
733	59583.48871
734	59557.36155
735	59499.73428
736	59463.85967
737	59452.5293
738	59419.91135
739	59392.45152
740	59355.14742
741	59325.22071
742	59288.21412
743	59256.3264
744	59212.31673
745	59182.75176
746	59158.13747
747	59131.11856
748	59108.34238
749	59085.52645
750	59055.29456
751	59053.2164
752	59017.85834
753	59003.19434
754	58973.98278
755	58945.11693
756	58920.21435
757	58867.8007
758	58839.81788
759	58808.67486
760	58772.39667
761	58720.11066
762	58689.92705
763	58688.30082
764	58664.2163
765	58645.19795
766	58623.92137
767	58586.7939
768	58561.6856
769	58542.72513
770	58525.65406
771	58478.56176
772	58449.24091
773	58439.61442
774	58406.27857
775	58379.74735
776	58361.77945
777	58320.16413
778	58276.08884
779	58260.22059
780	58230.02146
781	58192.57406
782	58141.98315
783	58111.5104
784	58080.32814
785	58056.1371
786	58054.28931
787	58014.2251
788	57994.20782
789	57962.06464
790	57929.9187
791	57898.25987
792	57860.00854
793	57819.0936
794	57778.72838
795	57757.99123
796	57731.80897
797	57701.0615
798	57684.90718
799	57658.89252
800	57625.1171
801	57602.33595
802	57576.32073
803	57554.14556
804	57531.18145
805	57506.71581
806	57486.71227
807	57471.62431
808	57456.5445
809	57435.76334
810	57388.73837
811	57358.96682
812	57324.2124
813	57288.25045
814	57263.58526
815	57218.90302
816	57191.89447
817	57168.4428
818	57133.46702
819	57106.39736
820	57087.92396
821	57065.10779
822	57018.94584
823	56985.06998
824	56951.63052
825	56919.74799
826	56898.12976
827	56852.50047
828	56829.72743
829	56820.62013
830	56813.40255
831	56784.8511
832	56759.22421
833	56721.96679
834	56676.44514
835	56644.68445
836	56614.83401
837	56598.46095
838	56559.07501
839	56532.81178
840	56510.6556
841	56485.8521
842	56471.37988
843	56456.44737
844	56435.42315
845	56399.4808
846	56370.58649
847	56357.29062
848	56333.37455
849	56326.70112
850	56294.53316
851	56272.99935
852	56259.92946
853	56239.87935
854	56220.95952
855	56197.35688
856	56173.57456
857	56151.10309
858	56117.41579
859	56089.03182
860	56067.93202
861	56041.56926
862	56015.08208
863	55992.5703
864	55954.75902
865	55920.63027
866	55885.49151
867	55856.31088
868	55829.49212
869	55793.35938
870	55768.37981
871	55734.92668
872	55709.99518
873	55675.43196
874	55651.18365
875	55620.45748
876	55600.45148
877	55572.42976
878	55554.0261
879	55532.18411
880	55510.4108
881	55485.22723
882	55447.00788
883	55423.92516
884	55393.12166
885	55362.16394
886	55331.91374
887	55298.9881
888	55273.11733
889	55250.05311
890	55199.48217
891	55171.63023
892	55142.84367
893	55102.44022
894	55072.19321
895	55039.04715
896	55024.64692
897	55005.98151
898	54974.5132
899	54966.42257
900	54948.10052
901	54911.04161
902	54886.57389
903	54873.0004
904	54870.27596
905	54844.49223
906	54815.7753
907	54782.04843
908	54780.70138
909	54729.92263
910	54699.7628
911	54683.77996
912	54670.19325
913	54644.86913
