iter	Passed	Remaining
0	2	2533
1	4	2444
2	7	2375
3	9	2390
4	12	2430
5	14	2372
6	16	2337
7	18	2311
8	20	2292
9	23	2301
10	25	2298
11	27	2303
12	30	2290
13	32	2291
14	34	2279
15	36	2265
16	39	2259
17	41	2285
18	44	2290
19	45	2242
20	48	2239
21	50	2249
22	52	2244
23	55	2246
24	57	2243
25	60	2252
26	62	2242
27	64	2233
28	66	2227
29	69	2235
30	71	2241
31	74	2241
32	76	2236
33	78	2238
34	81	2237
35	83	2233
36	85	2235
37	88	2239
38	91	2243
39	93	2241
40	95	2237
41	98	2239
42	101	2248
43	103	2248
44	106	2252
45	108	2246
46	110	2242
47	112	2235
48	115	2232
49	117	2227
50	119	2223
51	121	2217
52	123	2213
53	125	2205
54	128	2204
55	130	2203
56	133	2204
57	135	2204
58	138	2202
59	140	2203
60	143	2208
61	145	2205
62	147	2198
63	150	2200
64	153	2202
65	155	2201
66	157	2196
67	160	2194
68	162	2187
69	164	2181
70	166	2180
71	169	2183
72	171	2183
73	173	2176
74	175	2170
75	178	2167
76	180	2165
77	182	2162
78	185	2160
79	188	2163
80	190	2160
81	193	2162
82	195	2164
83	198	2160
84	200	2158
85	202	2154
86	204	2149
87	207	2145
88	209	2142
89	211	2141
90	213	2136
91	217	2142
92	219	2138
93	221	2134
94	223	2129
95	225	2123
96	227	2120
97	230	2120
98	232	2116
99	234	2114
100	237	2112
101	239	2109
102	242	2108
103	244	2105
104	246	2101
105	248	2097
106	250	2094
107	253	2093
108	255	2092
109	258	2089
110	260	2088
111	264	2093
112	266	2091
113	269	2090
114	271	2089
115	273	2087
116	276	2084
117	278	2080
118	280	2076
119	282	2074
120	285	2071
121	287	2066
122	289	2062
123	291	2059
124	293	2057
125	296	2055
126	298	2052
127	300	2049
128	302	2044
129	304	2039
130	306	2035
131	309	2032
132	311	2031
133	313	2027
134	315	2024
135	318	2024
136	320	2020
137	323	2019
138	326	2019
139	328	2015
140	330	2015
141	332	2011
142	335	2008
143	337	2005
144	339	2001
145	341	1998
146	343	1996
147	346	1993
148	348	1991
149	351	1989
150	353	1988
151	355	1985
152	358	1983
153	360	1980
154	363	1979
155	365	1977
156	367	1974
157	369	1971
158	372	1968
159	374	1964
160	376	1961
161	378	1959
162	381	1957
163	383	1956
164	385	1952
165	387	1948
166	390	1945
167	392	1942
168	394	1940
169	396	1937
170	399	1935
171	401	1931
172	403	1927
173	405	1923
174	407	1919
175	409	1916
176	411	1913
177	413	1911
178	416	1908
179	418	1905
180	420	1901
181	422	1897
182	424	1894
183	426	1893
184	429	1890
185	431	1887
186	433	1883
187	435	1880
188	437	1877
189	439	1874
190	442	1873
191	444	1870
192	446	1867
193	448	1864
194	450	1860
195	452	1857
196	455	1855
197	457	1853
198	459	1851
199	462	1849
200	464	1846
201	466	1843
202	469	1841
203	471	1841
204	474	1839
205	477	1839
206	479	1836
207	481	1834
208	483	1830
209	485	1828
210	488	1825
211	490	1824
212	493	1823
213	495	1820
214	498	1820
215	501	1819
216	503	1816
217	506	1815
218	508	1813
219	510	1810
220	512	1807
221	514	1803
222	517	1803
223	519	1801
224	522	1800
225	525	1798
226	527	1796
227	529	1793
228	532	1792
229	535	1791
230	537	1789
231	539	1787
232	542	1785
233	544	1783
234	547	1781
235	549	1778
236	552	1777
237	555	1777
238	557	1775
239	559	1773
240	562	1771
241	564	1768
242	566	1765
243	568	1762
244	571	1761
245	573	1758
246	575	1754
247	577	1751
248	579	1748
249	581	1745
250	584	1743
251	586	1740
252	589	1739
253	591	1737
254	593	1735
255	595	1732
256	597	1728
257	600	1726
258	602	1724
259	604	1721
260	606	1717
261	609	1715
262	611	1712
263	613	1709
264	615	1707
265	618	1705
266	620	1702
267	622	1700
268	624	1697
269	627	1695
270	629	1693
271	631	1690
272	634	1688
273	636	1686
274	639	1685
275	642	1685
276	644	1682
277	646	1680
278	649	1677
279	651	1674
280	653	1671
281	655	1669
282	658	1667
