iter	Passed	Remaining
0	152	152749
1	166	82889
2	174	57937
3	191	47624
4	199	39701
5	208	34561
6	217	30903
7	232	28768
8	233	25742
9	246	24402
10	254	22874
11	262	21629
12	272	20671
13	285	20097
14	292	19226
15	295	18145
16	302	17519
17	316	17293
18	330	17068
19	345	16941
20	357	16686
21	360	16039
22	372	15844
23	376	15297
24	390	15211
25	397	14908
26	405	14621
27	418	14529
28	426	14268
29	432	13987
30	439	13747
31	440	13322
32	446	13086
33	453	12870
34	460	12691
35	463	12405
36	472	12305
37	484	12260
38	487	12003
39	498	11975
40	505	11832
41	513	11720
42	525	11688
43	533	11587
44	545	11573
45	553	11473
46	560	11362
47	572	11351
48	581	11293
49	589	11209
50	598	11136
51	605	11041
52	612	10951
53	620	10863
54	627	10786
55	633	10684
56	641	10615
57	651	10581
58	659	10524
59	668	10475
60	675	10404
61	682	10321
62	693	10320
63	705	10320
64	713	10263
65	721	10214
66	729	10161
67	737	10109
68	751	10144
69	758	10074
70	763	9984
71	770	9933
72	778	9881
73	786	9837
74	798	9849
75	800	9731
76	807	9679
77	814	9626
78	822	9588
79	830	9551
80	842	9554
81	854	9567
82	867	9586
83	875	9543
84	886	9547
85	894	9511
86	909	9546
87	917	9506
88	929	9511
89	945	9559
90	952	9511
91	959	9471
92	971	9477
93	983	9476
94	995	9480
95	1007	9484
96	1015	9453
97	1024	9425
98	1038	9449
99	1047	9423
100	1056	9403
101	1069	9414
102	1077	9387
103	1086	9357
104	1097	9350
105	1104	9315
106	1107	9243
107	1114	9204
108	1122	9174
109	1135	9186
110	1144	9167
111	1151	9130
112	1163	9133
113	1177	9151
114	1185	9124
115	1193	9093
116	1200	9060
117	1214	9080
118	1223	9059
119	1230	9026
120	1242	9029
121	1248	8987
122	1257	8962
123	1264	8930
124	1273	8912
125	1286	8926
126	1294	8900
127	1309	8921
128	1316	8890
129	1327	8882
130	1334	8852
131	1346	8855
132	1361	8872
133	1375	8887
134	1384	8868
135	1387	8812
136	1390	8757
137	1400	8748
138	1406	8712
139	1412	8678
140	1424	8680
141	1433	8659
142	1445	8665
143	1453	8641
144	1461	8619
145	1468	8591
146	1476	8566
147	1483	8540
148	1491	8515
149	1498	8491
150	1511	8497
151	1519	8478
152	1533	8487
153	1543	8477
154	1551	8459
155	1564	8463
156	1572	8443
157	1581	8426
158	1584	8379
159	1597	8385
160	1604	8363
161	1615	8356
162	1623	8338
163	1630	8309
164	1636	8281
165	1643	8257
166	1655	8258
167	1663	8239
168	1671	8220
169	1679	8201
170	1690	8196
171	1694	8155
172	1708	8165
173	1715	8143
174	1728	8147
175	1741	8154
176	1754	8158
177	1762	8139
178	1769	8115
179	1777	8097
180	1786	8082
181	1794	8065
182	1802	8049
183	1816	8056
184	1828	8055
185	1839	8052
186	1848	8036
187	1860	8036
188	1863	7997
189	1867	7960
190	1874	7941
191	1878	7903
192	1886	7887
193	1899	7890
194	1911	7892
195	1923	7892
196	1931	7874
197	1943	7870
198	1956	7875
199	1964	7858
200	1976	7856
201	1988	7857
202	1997	7843
203	2007	7834
204	2014	7813
205	2021	7793
206	2036	7800
207	2043	7781
208	2053	7772
209	2061	7754
210	2070	7741
211	2080	7732
212	2086	7710
213	2094	7692
214	2107	7693
215	2121	7700
216	2127	7677
217	2135	7660
218	2148	7661
219	2155	7642
220	2157	7604
221	2164	7585
222	2175	7581
223	2184	7569
224	2192	7553
225	2206	7557
226	2213	7536
227	2219	7515
228	2233	7520
229	2240	7499
230	2253	7501
231	2267	7507
232	2280	7507
233	2288	7492
234	2295	7473
235	2308	7474
236	2316	7458
237	2325	7444
238	2333	7428
239	2344	7424
240	2352	7408
241	2361	7397
242	2370	7385
243	2386	7393
244	2393	7376
245	2407	7377
246	2415	7363
247	2421	7342
248	2434	7341
249	2446	7338
250	2454	7323
251	2463	7311
252	2471	7297
253	2483	7294
254	2492	7281
255	2504	7279
256	2513	7268
257	2525	7264
258	2541	7271
259	2544	7241
260	2557	7242
261	2565	7227
262	2571	7206
263	2579	7191
264	2582	7162
265	2593	7156
266	2607	7159
267	2615	7143
268	2627	7140
269	2636	7128
270	2643	7112
271	2657	7111
272	2663	7092
273	2672	7080
274	2684	7077
275	2697	7076
276	2705	7061
277	2719	7063
278	2727	7047
279	2734	7032
280	2743	7019
281	2754	7014
282	2762	6997
283	2769	6982
284	2776	6965
285	2784	6951
286	2792	6936
287	2805	6935
288	2817	6931
289	2823	6912
290	2830	6896
291	2838	6882
292	2841	6857
293	2849	6842
294	2863	6844
295	2871	6830
296	2883	6825
297	2895	6821
298	2903	6807
299	2911	6792
300	2925	6792
301	2933	6780
302	2946	6777
303	2958	6772
304	2967	6761
305	2974	6744
306	2977	6720
307	2989	6717
308	2996	6700
309	3003	6685
310	3015	6681
311	3027	6676
312	3038	6668
313	3046	6654
314	3056	6647
315	3064	6633
316	3071	6618
